symbol,date,rs,rsi,ema10,ema20,ema30,ema50,ema100,ema200,volume20,volume50
 ADANIPORTS.NS,2024-05-09,0.49639090718283807,33.17254233503479,1295.3953191528853,1307.8573896246778,1309.0647405417149,1293.4653214829957,1216.4941296816287,1077.529210751292,3799210.1,3778851.68
 ADANIPORTS.NS,2024-05-10,0.6684753106466431,40.06504060210308,1290.187079306906,1303.9424001366133,1306.3347572809591,1292.417661816996,1217.4892954305074,1079.412004674165,3803540.15,3768179.54
 ADANIPORTS.NS,2024-05-13,0.9994674148846178,49.98668182558472,1293.1348875082072,1304.1764595916084,1306.3389680637401,1292.965989761979,1219.2499039252314,1081.6705919352585,3729130.6,3759599.16
 ADANIPORTS.NS,2024-05-14,1.2228682666233583,55.01307859691356,1300.0649079612604,1306.7548920114552,1307.9461314144667,1294.4673234968034,1221.4677276098803,1084.1539691299326,3769446.25,3763341.52
 ADANIPORTS.NS,2024-05-15,1.2867660614631924,56.27012238584004,1306.9349202566561,1309.7163285423583,1309.875411683594,1296.1686039708873,1223.772326579703,1086.6783075026294,3710316.25,3763187.76
 ADANIPORTS.NS,2024-05-16,1.3618358407861852,57.66005482975779,1313.8649436332867,1313.0814447600505,1312.1447431122733,1298.0855233770535,1226.1738656341272,1089.2491706003957,3816617.5,3817207.62
 ADANIPORTS.NS,2024-05-17,1.2324468691868655,55.206100812413304,1317.8349450039389,1315.2355882278432,1313.6644339548284,1299.5605989768505,1228.3426990111122,1091.7014171732462,3602909.95,3802665.3
 ADANIPORTS.NS,2024-05-21,1.7774146241591484,63.99529291372021,1330.13768227595,1321.9274369680486,1318.298986602904,1302.9307715659936,1231.4547247732685,1094.624786156597,3617974.8,3820655.06
 ADANIPORTS.NS,2024-05-22,1.636616039460161,62.07259665291474,1338.8762766206635,1327.2867240350797,1322.1635649621924,1305.8825040995578,1234.3605708405676,1097.4464295895848,3266746.4,3814822.02
 ADANIPORTS.NS,2024-05-23,2.397963741672054,70.57061004694756,1357.8714946143496,1338.3403670399234,1329.9820430669502,1311.2733853343177,1238.4989748949313,1100.8882559179067,3465404.5,3934933.94
 ADANIPORTS.NS,2024-05-24,1.7856059240059623,64.10116767120073,1368.458491154638,1345.7460440443058,1335.5380387133366,1315.384232010852,1242.015826393763,1104.0246909394791,4292765.9,4261770.34
 ADANIPORTS.NS,2024-05-27,1.9425383138297043,66.01573562185828,1379.9478608381698,1353.9273755080922,1341.7388119843513,1319.9436748501937,1245.7709590278284,1107.2846445063904,4263765.45,4339296.18
